SearchType,CompanyName,Message,Cost
SearchTool,Security Direct Products,"""Est: 2010. Employees: ~10 | Turnover: not specified | Showroom: None; operates from Beverley, East Yorkshire | Supply/Install: roller shutters, industrial doors, garage doors, security doors, security grilles | Brand partnerships: not specified | Key people: Matthew Yeo (Managing Director), Alex Yeo (Installations Director), Ollie Yeo (Sales Director) | Phone: 01482 889950 | Website: https://securitydirectuk.com/ – ChatGPT 18 Jun 2025""",0.05302
SearchTool,Garage Conversion,"""Est: not specified. Employees: not specified | Turnover: not specified | Showroom: None; operates in multiple UK locations including Bromley, Cambridge, Chelmsford, Dartford, Enfield, Exeter, Guildford, Harrow, Kingston upon Thames, Leicester, Milton Keynes, Northampton, Peterborough, Plymouth, Reading, Redhill, Romford, South East London, St Albans, Stevenage, Sutton, Taunton, Truro, Twickenham, and Watford | Supply/Install: garage conversions into family rooms, bedrooms (with or without en-suite), playrooms, home offices or studies, kitchens or utility rooms, home cinemas, dining rooms | Brand partnerships: not specified | Key people: not specified | Phone: not specified | Website: https://www.garageconversions.co.uk/ – ChatGPT 18 Jun 2025""",0.05506
SearchTool,warrior doors ltd,"""Est: 1997. Employees: 54 | Turnover: not specified | Showroom: Factory unit in Tyseley, Birmingham; offers factory visits to view products | Supply/Install: high-security doors, communal entrance doors, certified security doors, display vaults | Brand partnerships: not specified | Key people: Brett Barratt (Managing Director), Ann Rosemary Barratt (Director, Secretary) | Phone: 0121 706 8400 | Website: https://warriordoors.co.uk/ – ChatGPT 18 Jun 2025""",0.05325
SearchTool,klm Doors & Shutters,"""Est: not specified. Employees: 5–9 | Turnover: not specified | Showroom: None; operates from 11 Longley Ings, Oxspring, Sheffield, S36 8ZS | Supply/Install: roller garage doors, sectional garage doors, domestic roller shutters, industrial shutters, steel shutters, security shutters, fire shutters, awnings, expandable grilles, steel doorsets | Brand partnerships: not specified | Key people: not specified | Phone: 01226 818238 | Website: https://www.klmdoors.co.uk/ – ChatGPT 18 Jun 2025""",0.05365
SearchTool,Ideal Garage Door Company Ltd,"""Est: 2010. Employees: 2 | Turnover: not specified | Showroom: Showroom now open with a range of garage doors on display | Supply/Install: garage doors installation and repairs | Brand partnerships: main dealer for Garador in the region | Key people: David Raymond Belk (Director) | Phone: 01724 282 171 | Website: https://www.idealgaragedoorcompany.co.uk/ – ChatGPT 18 Jun 2025""",0.05288
SearchTool,JBH Design,"""Est: 1994. Employees: not specified | Turnover: not specified | Showroom: None; operates from Unit 28c Spencer Road, Blyth, Northumberland, UK NE24 5TG | Supply/Install: None | Brand partnerships: None | Key people: not specified | Phone: 01670 364 666 | Website: https://jbhdesign.co.uk/ – ChatGPT 18 Jun 2025""",0.0524
SearchTool,VOCA Solutions,"""Est: 2013. Employees: not specified | Turnover: not specified | Showroom: None; operates from Ashton-in-Makerfield, Wigan, offering mobile installation and repair services across the North of England | Supply/Install: roller shutters, garage doors, fire curtains, automatic doors, manual doors | Brand partnerships: not specified | Key people: Jamie Clarke (Secretary); Lee Hogg (Director); Stephen Thomas Pendergrast (Director) | Phone: not specified | Website: https://vocadoortechnologies.co.uk/ – ChatGPT 18 Jun 2025""",0.05338
SearchTool,Severn Valley Window & Door,"""Est: 1981. Employees: not specified | Turnover: not specified | Showroom: None; operates from Bridgnorth, Shropshire, serving central England and Wales | Supply/Install: aluminium windows and doors, UPVC windows and doors, steel windows and doors, window locks, door locks, automatic doors, window film, insect and fly screens | Brand partnerships: Comar, Kestrel, Eurocell | Key people: Anthony David Edgington (Director), Patricia Ann Edgington (Director), Oliver Simon Bromley (Director), Kinzie Nicola Hawkings (Director) | Phone: 01746 761127 | Website: https://www.severnvalleywindows.co.uk/ – ChatGPT 18 Jun 2025""",0.05456
SearchTool,Phoenix Systems,"""NO RELEVANT INFORMATION – ChatGPT 18 Jun 2025""",0.05017
SearchTool,Kent Door Store,"""Est: not specified. Employees: not specified | Turnover: not specified | Showroom: None; operates within a 15-mile radius of Maidstone, Kent | Supply/Install: GRP composite doors | Brand partnerships: not specified | Key people: Mrs. Adela Grela (Owner); Jamie (Installer, per reviews) | Phone: 0844 556 1278 | Website: https://www.kentdoorstore.co.uk/ – ChatGPT 18 Jun 2025""",0.05284
